Longitude;Latitude;Year;Brightness
106.9107478;-6.892324017;2012;1.6914417
106.9152393;-6.892324017;2012;1.688081
106.9197309;-6.892324017;2012;1.687886
106.9242225;-6.892324017;2012;1.6231681
106.9287141;-6.892324017;2012;1.3481655
106.9332056;-6.892324017;2012;1.6145949
106.9376972;-6.892324017;2012;2.5689406
106.9421888;-6.892324017;2012;2.8807406
106.9466804;-6.892324017;2012;1.8574101
106.9511719;-6.892324017;2012;1.269472
106.9556635;-6.892324017;2012;1.313243
106.9601551;-6.892324017;2012;1.2620474
106.9646467;-6.892324017;2012;1.1209357
106.9691382;-6.892324017;2012;0.9926391
106.9736298;-6.892324017;2012;1.2393141
106.9781214;-6.892324017;2012;1.56961
106.982613;-6.892324017;2012;1.6726336
106.9871046;-6.892324017;2012;1.4395295
106.9915961;-6.892324017;2012;1.3918608
106.9960877;-6.892324017;2012;1.6751766
106.7041352;-6.887832441;2012;0.34947094
106.7086268;-6.887832441;2012;0.2944594
106.7131184;-6.887832441;2012;0.20449893
106.71761;-6.887832441;2012;0.23139688
106.7221015;-6.887832441;2012;0.22382265
106.7265931;-6.887832441;2012;0.22694713
106.7310847;-6.887832441;2012;0.2658284
106.7355763;-6.887832441;2012;0.54702103
106.7400678;-6.887832441;2012;0.692689
106.7445594;-6.887832441;2012;0.44077265
106.749051;-6.887832441;2012;0.27346236
106.7535426;-6.887832441;2012;0.2813461
106.7580342;-6.887832441;2012;0.38251385
106.7625257;-6.887832441;2012;0.48266876
